"","x"
"595",-80.28
"596",-80.2666666666667
"597",-80.2566666666667
"598",-80.2533333333333
"599",-80.2533333333333
"600",-80.25
"601",-80.2566666666667
"602",-80.26
"603",-80.2566666666667
"604",-80.2433333333333
"605",-80.2433333333333
"606",-80.23
"607",-80.2333333333333
"608",-80.2233333333333
"609",-80.22
"610",-80.2166666666667
"611",-80.2133333333333
"612",-80.21
"613",-80.2033333333333
"614",-80.2066666666667
"615",-80.2
"616",-80.2
"617",-80.19
"618",-80.1866666666667
"619",-80.1866666666667
"620",-80.2
"621",-80.1833333333333
"622",-80.1666666666667
"623",-80.1533333333333
"624",-80.1533333333333
"625",-80.1533333333333
"626",-80.1533333333333
"627",-80.1466666666667
"628",-80.1533333333333
"629",-80.1566666666667
"630",-80.16
"631",-80.1533333333333
"632",-80.1466666666667
"633",-80.14
"634",-80.1433333333333
"635",-80.1466666666667
"636",-80.15
"637",-80.1433333333333
"638",-80.1533333333333
"639",-80.1533333333333
"640",-80.15
"641",-80.16
"642",-80.1633333333333
"643",-80.1666666666667
"644",-80.1566666666667
"645",-80.1666666666667
"646",-80.1633333333333
"647",-80.16
"648",-80.17
"649",-80.17
"650",-80.1733333333333
"651",-80.1866666666667
"652",-80.1866666666667
"653",-80.19
"654",-80.2033333333333
"655",-80.21
"656",-80.2133333333333
"657",-80.2066666666667
"658",-80.2066666666667
"659",-80.2
"660",-80.1966666666667
"661",-80.1966666666667
"662",-80.1933333333333
"663",-80.1933333333333
"664",-80.2033333333333
"665",-80.21
"666",-80.2233333333333
"667",-80.2333333333333
"668",-80.2333333333333
"669",-80.23
"670",-80.23
"671",-80.2233333333333
"672",-80.23
"673",-80.2233333333333
"674",-80.21
"675",-80.21
"676",-80.21
"677",-80.2066666666667
"678",-80.2066666666667
"679",-80.2133333333333
"680",-80.22
"681",-80.2233333333333
"682",-80.2266666666667
"683",-80.23
"684",-80.2366666666667
"685",-80.2433333333333
"686",-80.2466666666667
"687",-80.2533333333333
"688",-80.26
"689",-80.2666666666667
"690",-80.2733333333333
"691",-80.2866666666667
"692",-80.3
"693",-80.31
"694",-80.31
"695",-80.3033333333333
"696",-80.3033333333333
"697",-80.2966666666667
"698",-80.29
"699",-80.2833333333333
"700",-80.2866666666667
"701",-80.2833333333333
"702",-80.2733333333333
"703",-80.2766666666667
"704",-80.27
"705",-80.2666666666667
"706",-80.28
"707",-80.29
"708",-80.29
"709",-80.2966666666667
"710",-80.2966666666667
"711",-80.3066666666667
"712",-80.3033333333333
"713",-80.3033333333333
"714",-80.3066666666667
"715",-80.3033333333333
"716",-80.31
"717",-80.3166666666667
"718",-80.31
"719",-80.31
"720",-80.31
"721",-80.3133333333333
"722",-80.32
"723",-80.32
"724",-80.33
"725",-80.33
"726",-80.32
"727",-80.32
"728",-80.3233333333333
"729",-80.3333333333333
"730",-80.3433333333333
"731",-80.34
"732",-80.3433333333333
"733",-80.35
"734",-80.35
"735",-80.35
"736",-80.35
"737",-80.37
"738",-80.38
"739",-80.3833333333333
"740",-80.3866666666667
"741",-80.3933333333333
"742",-80.3866666666667
"743",-80.3766666666667
"744",-80.3833333333333
"745",-80.3933333333333
"746",-80.3966666666667
"747",-80.3933333333333
"748",-80.3966666666667
"749",-80.3933333333333
"750",-80.3933333333333
"751",-80.3933333333333
"752",-80.3866666666667
"753",-80.3933333333333
"754",-80.4033333333333
"755",-80.4066666666667
"756",-80.4066666666667
"757",-80.41
"758",-80.4166666666667
"759",-80.42
"760",-80.42
"761",-80.4333333333333
"762",-80.4366666666667
"763",-80.4433333333333
"764",-80.4533333333333
"765",-80.4666666666667
"766",-80.48
"767",-80.4833333333333
"768",-80.4866666666667
"769",-80.4933333333333
"770",-80.4933333333333
"771",-80.4866666666667
"772",-80.49
"773",-80.49
"774",-80.49
"775",-80.4966666666667
"776",-80.5066666666667
"777",-80.5133333333333
"778",-80.5133333333333
"779",-80.5333333333333
"780",-80.5266666666667
"781",-80.53
"782",-80.5366666666667
"783",-80.5466666666667
"784",-80.5566666666667
"785",-80.5633333333333
"786",-80.5833333333333
"787",-80.59
"788",-80.6033333333333
"789",-80.6133333333333
"790",-80.62
"791",-80.6233333333333
"792",-80.6266666666667
"793",-80.65
"794",-80.65
"795",-80.6533333333333
"796",-80.6566666666667
"797",-80.66
"798",-80.66
"799",-80.6666666666667
"800",-80.6766666666667
"801",-80.6933333333333
"802",-80.6966666666667
"803",-80.71
"804",-80.7166666666667
"805",-80.7166666666667
"806",-80.73
"807",-80.7333333333333
"808",-80.7466666666667
"809",-80.75
"810",-80.76
"811",-80.76
"812",-80.7633333333333
"813",-80.7666666666667
"814",-80.7766666666667
"815",-80.7833333333333
"816",-80.7833333333333
"817",-80.79
"818",-80.7933333333333
"819",-80.8
"820",-80.8033333333333
"821",-80.81
"822",-80.83
"823",-80.83
"824",-80.84
"825",-80.8633333333333
"826",-80.8733333333333
"827",-80.88
"828",-80.8866666666667
"829",-80.89
"830",-80.9
"831",-80.9033333333333
"832",-80.9066666666667
"833",-80.91
"834",-80.9133333333333
"835",-80.9133333333333
"836",-80.92
"837",-80.9366666666667
"838",-80.9466666666667
"839",-80.95
"840",-80.9566666666667
"841",-80.96
"842",-80.97
"843",-80.9666666666667
"844",-80.97
"845",-80.99
"846",-81
"847",-81.0066666666667
"848",-81.0133333333333
"849",-81.02
"850",-81.03
"851",-81.0333333333333
"852",-81.0366666666667
"853",-81.0366666666667
"854",-81.0433333333333
"855",-81.0433333333333
"856",-81.0433333333333
"857",-81.0566666666667
"858",-81.0633333333333
"859",-81.0633333333333
"860",-81.0633333333333
"861",-81.07
"862",-81.07
"863",-81.0866666666667
"864",-81.0966666666667
"865",-81.1033333333333
"866",-81.1133333333333
"867",-81.1233333333333
"868",-81.1333333333333
"869",-81.1266666666667
"870",-81.1233333333333
"871",-81.1266666666667
"872",-81.1333333333333
"873",-81.14
"874",-81.1466666666667
"875",-81.1533333333333
"876",-81.1566666666667
"877",-81.17
"878",-81.1833333333333
"879",-81.1833333333333
"880",-81.1833333333333
"881",-81.19
"882",-81.19
"883",-81.1933333333333
"884",-81.1966666666667
"885",-81.2
"886",-81.2066666666667
"887",-81.21
"888",-81.2166666666667
"889",-81.2166666666667
"890",-81.2233333333333
"891",-81.2233333333333
"892",-81.22
"893",-81.2166666666667
"894",-81.2166666666667
"895",-81.22
"896",-81.2166666666667
"897",-81.2166666666667
"898",-81.2233333333333
"899",-81.23
"900",-81.23
"901",-81.2266666666667
"902",-81.2233333333333
"903",-81.22
"904",-81.2233333333333
"905",-81.2233333333333
"906",-81.23
"907",-81.2233333333333
"908",-81.2266666666667
"909",-81.2266666666667
"910",-81.23
"911",-81.23
"912",-81.23
"913",-81.23
"914",-81.2266666666667
"915",-81.2266666666667
"916",-81.2233333333333
"917",-81.2266666666667
"918",-81.2233333333333
"919",-81.2166666666667
"920",-81.21
"921",-81.2133333333333
"922",-81.22
"923",-81.22
"924",-81.21
"925",-81.22
"926",-81.2233333333333
"927",-81.2266666666667
"928",-81.23
"929",-81.2333333333333
"930",-81.2333333333333
"931",-81.2366666666667
"932",-81.24
"933",-81.2433333333333
"934",-81.24
"935",-81.2366666666667
"936",-81.23
"937",-81.2333333333333
"938",-81.2333333333333
"939",-81.2333333333333
"940",-81.2333333333333
"941",-81.23
"942",-81.2266666666667
"943",-81.2233333333333
"944",-81.23
"945",-81.2266666666667
"946",-81.23
"947",-81.2333333333333
"948",-81.2266666666667
"949",-81.23
"950",-81.23
"951",-81.2266666666667
"952",-81.2233333333333
"953",-81.2233333333333
"954",-81.22
"955",-81.2166666666667
"956",-81.21
"957",-81.2166666666667
"958",-81.2233333333333
"959",-81.23
"960",-81.22
"961",-81.2133333333333
"962",-81.2033333333333
"963",-81.2
"964",-81.2033333333333
"965",-81.1933333333333
"966",-81.1933333333333
"967",-81.19
"968",-81.2
"969",-81.1933333333333
"970",-81.1833333333333
"971",-81.1833333333333
"972",-81.1833333333333
"973",-81.1866666666667
"974",-81.18
"975",-81.1833333333333
"976",-81.1766666666667
"977",-81.18
"978",-81.1766666666667
"979",-81.1766666666667
"980",-81.1733333333333
"981",-81.17
"982",-81.1733333333333
"983",-81.17
"984",-81.17
"985",-81.17
"986",-81.1733333333333
"987",-81.16
"988",-81.16
"989",-81.16
"990",-81.1566666666667
"991",-81.1566666666667
"992",-81.1533333333333
"993",-81.15
"994",-81.1533333333333
"995",-81.16
"996",-81.16
"997",-81.1633333333333
"998",-81.1666666666667
"999",-81.17
"1000",-81.1566666666667
"1001",-81.1433333333333
"1002",-81.15
"1003",-81.15
"1004",-81.1533333333333
"1005",-81.1566666666667
"1006",-81.1566666666667
"1007",-81.1466666666667
"1008",-81.16
"1009",-81.16
"1010",-81.17
"1011",-81.17
"1012",-81.1733333333333
"1013",-81.16
"1014",-81.1666666666667
"1015",-81.1733333333333
"1016",-81.1733333333333
"1017",-81.1666666666667
"1018",-81.17
"1019",-81.1766666666667
"1020",-81.1833333333333
"1021",-81.1866666666667
"1022",-81.18
"1023",-81.1766666666667
"1024",-81.18
"1025",-81.18
"1026",-81.19
"1027",-81.1966666666667
"1028",-81.2
"1029",-81.1933333333333
"1030",-81.1866666666667
"1031",-81.19
"1032",-81.1866666666667
"1033",-81.1766666666667
"1034",-81.1733333333333
"1035",-81.1733333333333
"1036",-81.1766666666667
"1037",-81.17
"1038",-81.1666666666667
"1039",-81.17
"1040",-81.1666666666667
"1041",-81.17
"1042",-81.1766666666667
"1043",-81.1866666666667
"1044",-81.19
"1045",-81.19
"1046",-81.19
"1047",-81.1966666666667
"1048",-81.1966666666667
"1049",-81.2
"1050",-81.2
"1051",-81.2
"1052",-81.21
"1053",-81.2233333333333
"1054",-81.23
"1055",-81.2333333333333
"1056",-81.24
"1057",-81.24
"1058",-81.2333333333333
"1059",-81.2266666666667
"1060",-81.22
"1061",-81.2133333333333
"1062",-81.21
"1063",-81.21
"1064",-81.2166666666667
"1065",-81.21
"1066",-81.1966666666667
"1067",-81.1933333333333
"1068",-81.19
"1069",-81.1833333333333
"1070",-81.1833333333333
"1071",-81.1766666666667
"1072",-81.1766666666667
"1073",-81.1766666666667
"1074",-81.1733333333333
"1075",-81.1733333333333
"1076",-81.18
"1077",-81.1833333333333
"1078",-81.1766666666667
"1079",-81.1666666666667
"1080",-81.1633333333333
"1081",-81.16
"1082",-81.16
"1083",-81.1566666666667
"1084",-81.1533333333333
"1085",-81.15
"1086",-81.1466666666667
"1087",-81.15
"1088",-81.15
"1089",-81.1466666666667
"1090",-81.1533333333333
"1091",-81.1533333333333
"1092",-81.16
"1093",-81.16
"1094",-81.16
"1095",-81.1566666666667
"1096",-81.15
"1097",-81.1466666666667
"1098",-81.15
"1099",-81.15
"1100",-81.1466666666667
"1101",-81.1433333333333
"1102",-81.14
"1103",-81.1333333333333
"1104",-81.13
"1105",-81.1233333333333
"1106",-81.1233333333333
"1107",-81.1233333333333
"1108",-81.1133333333333
"1109",-81.11
"1110",-81.1033333333333
"1111",-81.1066666666667
"1112",-81.1
"1113",-81.0966666666667
"1114",-81.0833333333333
"1115",-81.0833333333333
"1116",-81.08
"1117",-81.0733333333333
"1118",-81.07
"1119",-81.0566666666667
"1120",-81.05
"1121",-81.05
"1122",-81.04
"1123",-81.0333333333333
"1124",-81.0333333333333
"1125",-81.02
"1126",-81.0133333333333
"1127",-81.0133333333333
"1128",-81.01
"1129",-81.0033333333333
"1130",-80.9833333333333
"1131",-80.9933333333333
"1132",-80.99
"1133",-80.9833333333333
"1134",-80.9766666666667
"1135",-80.97
"1136",-80.9666666666667
"1137",-80.96
"1138",-80.95
"1139",-80.9533333333333
"1140",-80.9566666666667
"1141",-80.9566666666667
"1142",-80.9466666666667
"1143",-80.95
"1144",-80.9533333333333
"1145",-80.9466666666667
"1146",-80.9466666666667
"1147",-80.9366666666667
"1148",-80.9466666666667
"1149",-80.95
"1150",-80.9533333333333
"1151",-80.9566666666667
"1152",-80.9633333333333
"1153",-80.9733333333333
"1154",-80.98
"1155",-80.98
"1156",-80.98
"1157",-80.9733333333333
"1158",-80.9666666666667
"1159",-80.9566666666667
"1160",-80.96
"1161",-80.9533333333333
"1162",-80.9566666666667
"1163",-80.95
"1164",-80.9466666666667
"1165",-80.9366666666667
"1166",-80.93
"1167",-80.92
"1168",-80.92
"1169",-80.9233333333333
"1170",-80.93
"1171",-80.9266666666667
"1172",-80.9333333333333
"1173",-80.93
"1174",-80.94
"1175",-80.9333333333333
"1176",-80.9333333333333
"1177",-80.92
"1178",-80.9233333333333
"1179",-80.9266666666667
"1180",-80.9166666666667
"1181",-80.9066666666667
"1182",-80.9
"1183",-80.8933333333333
"1184",-80.8833333333333
"1185",-80.89
"1186",-80.8833333333333
"1187",-80.8866666666667
"1188",-80.8833333333333
"1189",-80.89
"1190",-80.8866666666667
"1191",-80.8866666666667
"1192",-80.8833333333333
"1193",-80.88
"1194",-80.8766666666667
"1195",-80.87
"1196",-80.87
"1197",-80.8666666666667
"1198",-80.8666666666667
"1199",-80.87
"1200",-80.88
"1201",-80.8766666666667
"1202",-80.8766666666667
"1203",-80.8733333333333
"1204",-80.88
"1205",-80.87
"1206",-80.8633333333333
"1207",-80.8566666666667
"1208",-80.8466666666667
"1209",-80.8466666666667
"1210",-80.8433333333333
"1211",-80.84
"1212",-80.8333333333333
"1213",-80.8366666666667
"1214",-80.8233333333333
"1215",-80.82
"1216",-80.8166666666667
"1217",-80.8133333333333
"1218",-80.8166666666667
"1219",-80.81
"1220",-80.8133333333333
"1221",-80.8033333333333
"1222",-80.7966666666667
"1223",-80.7866666666667
"1224",-80.78
"1225",-80.77
"1226",-80.7666666666667
"1227",-80.76
"1228",-80.75
"1229",-80.7333333333333
"1230",-80.73
"1231",-80.7333333333333
"1232",-80.7266666666667
"1233",-80.7233333333333
"1234",-80.7166666666667
"1235",-80.7133333333333
"1236",-80.72
"1237",-80.7133333333333
"1238",-80.7
"1239",-80.6933333333333
"1240",-80.6866666666667
"1241",-80.68
"1242",-80.6766666666667
"1243",-80.67
"1244",-80.66
"1245",-80.66
"1246",-80.6533333333333
"1247",-80.6533333333333
"1248",-80.65
"1249",-80.64
"1250",-80.6266666666667
"1251",-80.6133333333333
"1252",-80.6033333333333
"1253",-80.5933333333333
"1254",-80.5966666666667
"1255",-80.5966666666667
"1256",-80.6066666666667
"1257",-80.6033333333333
"1258",-80.5933333333333
"1259",-80.5833333333333
"1260",-80.58
"1261",-80.58
"1262",-80.5966666666667
"1263",-80.5866666666667
"1264",-80.5866666666667
"1265",-80.5833333333333
"1266",-80.5766666666667
"1267",-80.57
"1268",-80.5533333333333
"1269",-80.55
"1270",-80.5633333333333
"1271",-80.5633333333333
"1272",-80.5566666666667
"1273",-80.55
"1274",-80.5533333333333
"1275",-80.5533333333333
"1276",-80.56
"1277",-80.56
"1278",-80.5666666666667
"1279",-80.5666666666667
"1280",-80.5666666666667
"1281",-80.5866666666667
"1282",-80.5833333333333
"1283",-80.5833333333333
"1284",-80.59
"1285",-80.59
"1286",-80.5866666666667
"1287",-80.6
"1288",-80.6033333333333
"1289",-80.6033333333333
"1290",-80.6133333333333
"1291",-80.6133333333333
"1292",-80.6033333333333
"1293",-80.6033333333333
"1294",-80.61
"1295",-80.6033333333333
"1296",-80.6033333333333
"1297",-80.6033333333333
"1298",-80.61
"1299",-80.6266666666667
"1300",-80.6366666666667
"1301",-80.6566666666667
"1302",-80.6533333333333
"1303",-80.6533333333333
"1304",-80.66
"1305",-80.6566666666667
"1306",-80.6466666666667
"1307",-80.6466666666667
"1308",-80.64
"1309",-80.64
"1310",-80.6366666666667
"1311",-80.6333333333333
"1312",-80.6433333333333
"1313",-80.6466666666667
"1314",-80.6466666666667
"1315",-80.65
"1316",-80.6466666666667
"1317",-80.65
"1318",-80.65
"1319",-80.6533333333333
"1320",-80.65
"1321",-80.6433333333333
"1322",-80.6366666666667
"1323",-80.6366666666667
"1324",-80.6366666666667
"1325",-80.64
"1326",-80.6366666666667
"1327",-80.63
"1328",-80.6333333333333
"1329",-80.6366666666667
"1330",-80.64
"1331",-80.6466666666667
"1332",-80.6533333333333
"1333",-80.6633333333333
"1334",-80.6733333333333
"1335",-80.67
"1336",-80.68
"1337",-80.6766666666667
"1338",-80.6766666666667
"1339",-80.6766666666667
"1340",-80.68
"1341",-80.68
"1342",-80.6833333333333
"1343",-80.6866666666667
"1344",-80.69
"1345",-80.7
"1346",-80.7033333333333
"1347",-80.7066666666667
"1348",-80.7033333333333
"1349",-80.7066666666667
"1350",-80.7066666666667
"1351",-80.7066666666667
"1352",-80.7033333333333
"1353",-80.7033333333333
"1354",-80.6966666666667
"1355",-80.7
"1356",-80.7
"1357",-80.7033333333333
"1358",-80.7266666666667
"1359",-80.7433333333333
"1360",-80.75
"1361",-80.7566666666667
"1362",-80.7666666666667
"1363",-80.79
"1364",-80.7833333333333
"1365",-80.79
"1366",-80.7966666666667
"1367",-80.7966666666667
"1368",-80.8033333333333
"1369",-80.8066666666667
"1370",-80.82
"1371",-80.8266666666667
"1372",-80.8366666666667
"1373",-80.8366666666667
"1374",-80.8433333333333
"1375",-80.8433333333333
"1376",-80.8366666666667
"1377",-80.8333333333333
"1378",-80.84
"1379",-80.8566666666667
"1380",-80.87
"1381",-80.87
"1382",-80.8633333333333
"1383",-80.8633333333333
"1384",-80.86
"1385",-80.87
"1386",-80.8633333333333
"1387",-80.87
"1388",-80.87
"1389",-80.87
"1390",-80.87
"1391",-80.8666666666667
"1392",-80.8666666666667
"1393",-80.8666666666667
"1394",-80.86
"1395",-80.8633333333333
"1396",-80.8666666666667
"1397",-80.8633333333333
"1398",-80.8666666666667
"1399",-80.8633333333333
"1400",-80.8666666666667
"1401",-80.87
"1402",-80.8733333333333
"1403",-80.8866666666667
"1404",-80.8933333333333
"1405",-80.9
"1406",-80.8966666666667
"1407",-80.8966666666667
"1408",-80.9033333333333
"1409",-80.9066666666667
"1410",-80.9133333333333
"1411",-80.92
"1412",-80.9333333333333
